Entry ID,Contest Name,Contest ID,Entry Fee,P,P,P,P,P,P,,Instructions
1364941796,TEN $40K Major Kickoff [$10K to 1st] (AUS Day 1),67832530,$10,,,,,,,,1. Column A lists all of your contest entries for this draftgroup
1367310013,TEN $40K Major Kickoff [$10K to 1st] (AUS Day 1),67832530,$10,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,2. Your current lineup is listed next to each entry (blank for reservations)
1367310014,TEN $40K Major Kickoff [$10K to 1st] (AUS Day 1),67832530,$10,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
1367310015,TEN $40K Major Kickoff [$10K to 1st] (AUS Day 1),67832530,$10,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
1367310016,TEN $40K Major Kickoff [$10K to 1st] (AUS Day 1),67832530,$10,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,5. For faster processing only include entries you are changing in the file you upload
1367310017,TEN $40K Major Kickoff [$10K to 1st] (AUS Day 1),67832530,$10,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,
1367310018,TEN $40K Major Kickoff [$10K to 1st] (AUS Day 1),67832530,$10,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
1367310019,TEN $40K Major Kickoff [$10K to 1st] (AUS Day 1),67832530,$10,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Roger Federer (11947466),Roger Federer,11947466,P,11100,Federer@Istomin 01/14/2019 04:15AM ET,Federer,0
1367310020,TEN $40K Major Kickoff [$10K to 1st] (AUS Day 1),67832530,$10,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Angelique Kerber (11947476),Angelique Kerber,11947476,P,10900,Kerber@Hercog 01/13/2019 10:15PM ET,Kerber,40.38
1367310021,TEN $40K Major Kickoff [$10K to 1st] (AUS Day 1),67832530,$10,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Alex De Minaur (11947446),Alex De Minaur,11947446,P,10700,Sousa@De Minaur 01/13/2019 11:00PM ET,De Minaur,66.78
1367310022,TEN $40K Major Kickoff [$10K to 1st] (AUS Day 1),67832530,$10,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Ashleigh Barty (11947488),Ashleigh Barty,11947488,P,10600,Kumkhum@Barty 01/14/2019 03:00AM ET,Barty,66.15
1367310023,TEN $40K Major Kickoff [$10K to 1st] (AUS Day 1),67832530,$10,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Petra Kvitova (11947486),Petra Kvitova,11947486,P,10400,Rybarikova@Kvitova 01/14/2019 03:00AM ET,Kvitova,61.81
1367310024,TEN $40K Major Kickoff [$10K to 1st] (AUS Day 1),67832530,$10,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Caroline Wozniacki (11947490),Caroline Wozniacki,11947490,P,10300,Wozniacki@Van Uytvanck 01/14/2019 03:00AM ET,Wozniacki,47.95
1367310044,TEN $2K Ace (AUS Day 1),67927785,$1,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Diego Schwartzman (11947444),Diego Schwartzman,11947444,P,10200,Schwartzman@Molleker 01/13/2019 10:15PM ET,Schwartzman,54.48
1367310045,TEN $2K Ace (AUS Day 1),67927785,$1,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Anett Kontaveit (11947472),Anett Kontaveit,11947472,P,10100,Sorribes Tormo@Kontaveit 01/13/2019 10:15PM ET,Kontaveit,49.65
1367310046,TEN $2K Ace (AUS Day 1),67927785,$1,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Roberto Bautista-Agut (11947462),Roberto Bautista-Agut,11947462,P,9900,Murray@Bautista-Agut 01/14/2019 02:00AM ET,Bautista-Agut,69.47
1367310047,TEN $2K Ace (AUS Day 1),67927785,$1,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Marin Cilic (11947464),Marin Cilic,11947464,P,9800,Tomic@Cilic 01/14/2019 04:15AM ET,Cilic,0
1367310048,TEN $2K Ace (AUS Day 1),67927785,$1,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,John Millman (11947448),John Millman,11947448,P,9700,Millman@Delbonis 01/13/2019 11:30PM ET,Millman,54.58
1367310049,TEN $2K Ace (AUS Day 1),67927785,$1,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Kiki Bertens (11947474),Kiki Bertens,11947474,P,9600,Bertens@Riske 01/13/2019 10:15PM ET,Bertens,55.81
1367310050,TEN $2K Ace (AUS Day 1),67927785,$1,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Denis Kudla (11947440),Denis Kudla,11947440,P,9500,Kudla@Polmans 01/13/2019 10:15PM ET,Kudla,30.7
1367310051,TEN $2K Ace (AUS Day 1),67927785,$1,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Viktor Troicki (11947443),Viktor Troicki,11947443,P,9400,Carballes Baena@Troicki 01/13/2019 10:15PM ET,Troicki,0
1367310052,TEN $2K Ace (AUS Day 1),67927785,$1,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Vera Lapko (11947483),Vera Lapko,11947483,P,9300,Larsson@Lapko 01/14/2019 12:00AM ET,Lapko,35.35
1367310053,TEN $2K Ace (AUS Day 1),67927785,$1,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Yafan Wang (11947470),Yafan Wang,11947470,P,9200,Wang@Perez 01/13/2019 10:15PM ET,Wang,50.54
1367310054,TEN $2K Ace (AUS Day 1),67927785,$1,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Jordan Thompson (11947453),Jordan Thompson,11947453,P,9100,Thompson@Lopez 01/13/2019 11:30PM ET,Thompson,53.89
1367310055,TEN $2K Ace (AUS Day 1),67927785,$1,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Aliaksandra Sasnovich (11947484),Aliaksandra Sasnovich,11947484,P,9000,Sasnovich@Flipkens 01/14/2019 12:00AM ET,Sasnovich,47.27
1367310056,TEN $2K Ace (AUS Day 1),67927785,$1,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Tomas Berdych (11947439),Tomas Berdych,11947439,P,8900,Berdych@Edmund 01/13/2019 10:15PM ET,Berdych,64.28
1367310057,TEN $2K Ace (AUS Day 1),67927785,$1,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Gael Monfils (11947451),Gael Monfils,11947451,P,8700,Dzumhur@Monfils 01/13/2019 11:30PM ET,Monfils,0
