Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,AvgPointsPerGame,AvgPointsPerGame,AvgPointsPerGame,AvgPointsPerGame,AvgPointsPerGame,AvgPointsPerGame,AvgPointsPerGame,AvgPointsPerGame
G,Bryson DeChambeau (13308211),Bryson DeChambeau,13308211,G,11100,A Military Tribute at The Greenbrier,Golf,73.80693674,Bryson DeChambeau(13308211),Sam Burns(13308273),Viktor Hovland(13308212),J.J. Spaun(13308274),Scott Stallings(13308269),Mackenzie Hughes(13308259),50000,363.614
G,Viktor Hovland (13308212),Viktor Hovland,13308212,G,10900,A Military Tribute at The Greenbrier,Golf,72.65252794,Sam Burns(13308273),Jason Dufner(13308245),Viktor Hovland(13308212),Jason Kokrak(13308213),Scott Stallings(13308269),Mackenzie Hughes(13308259),50000,363.547
G,Jason Kokrak (13308213),Jason Kokrak,13308213,G,10500,A Military Tribute at The Greenbrier,Golf,69.23241445,Bryson DeChambeau(13308211),Sam Burns(13308273),Viktor Hovland(13308212),Nate Lashley(13308275),Scott Stallings(13308269),Mackenzie Hughes(13308259),50000,363.233
G,Marc Leishman (13308214),Marc Leishman,13308214,G,10200,A Military Tribute at The Greenbrier,Golf,63.27048225,Bryson DeChambeau(13308211),Sam Burns(13308273),Cameron Tringale(13308252),Jason Kokrak(13308213),Scott Stallings(13308269),Mackenzie Hughes(13308259),50000,362.637
G,Bubba Watson (13308215),Bubba Watson,13308215,G,10000,A Military Tribute at The Greenbrier,Golf,64.28980521,Sam Burns(13308273),Viktor Hovland(13308212),Jason Kokrak(13308213),Scott Stallings(13308269),Mackenzie Hughes(13308259),Andrew Landry(13308248),49900,362.24
G,Sungjae Im (13308216),Sungjae Im,13308216,G,9800,A Military Tribute at The Greenbrier,Golf,64.50023599,Sam Burns(13308273),Jason Kokrak(13308213),Cameron Tringale(13308252),Viktor Hovland(13308212),Scott Stallings(13308269),Mackenzie Hughes(13308259),49800,361.482
G,Joaquin Niemann (13308217),Joaquin Niemann,13308217,G,9700,A Military Tribute at The Greenbrier,Golf,64.72828628,Bryson DeChambeau(13308211),Joaquin Niemann(13308217),Joel Dahmen(13308234),Sam Burns(13308273),Scott Stallings(13308269),Mackenzie Hughes(13308259),49900,361.438
G,Scott Piercy (13308218),Scott Piercy,13308218,G,9600,A Military Tribute at The Greenbrier,Golf,58.13392096,Bryson DeChambeau(13308211),Joaquin Niemann(13308217),Sam Burns(13308273),J.B. Holmes(13308233),Scott Stallings(13308269),Mackenzie Hughes(13308259),50000,361.418
G,Byeong Hun An (13308219),Byeong Hun An,13308219,G,9500,A Military Tribute at The Greenbrier,Golf,61.18377128,Sam Burns(13308273),Jason Dufner(13308245),Viktor Hovland(13308212),Jason Kokrak(13308213),J.J. Spaun(13308274),Mackenzie Hughes(13308259),49900,361.22
G,Russell Henley (13308220),Russell Henley,13308220,G,9400,A Military Tribute at The Greenbrier,Golf,59.01976144,Bryson DeChambeau(13308211),Sam Burns(13308273),Joel Dahmen(13308234),Sungjae Im(13308216),Scott Stallings(13308269),Mackenzie Hughes(13308259),50000,361.21
G,Scottie Scheffler (13308221),Scottie Scheffler,13308221,G,9300,A Military Tribute at The Greenbrier,Golf,59.29008223,Bryson DeChambeau(13308211),Joaquin Niemann(13308217),Jason Dufner(13308245),Sam Burns(13308273),Andrew Landry(13308248),Mackenzie Hughes(13308259),49800,361.07
G,Kevin Na (13308222),Kevin Na,13308222,G,9200,A Military Tribute at The Greenbrier,Golf,58.45106757,Bryson DeChambeau(13308211),Sam Burns(13308273),Jason Kokrak(13308213),J.J. Spaun(13308274),Andrew Landry(13308248),Mackenzie Hughes(13308259),50000,361.067
G,Keegan Bradley (13308223),Keegan Bradley,13308223,G,9100,A Military Tribute at The Greenbrier,Golf,59.02136609,Bryson DeChambeau(13308211),Sam Burns(13308273),Viktor Hovland(13308212),Nate Lashley(13308275),J.J. Spaun(13308274),Mackenzie Hughes(13308259),49900,360.905
G,Cameron Smith (13308224),Cameron Smith,13308224,G,9000,A Military Tribute at The Greenbrier,Golf,56.34231518,Joaquin Niemann(13308217),Sam Burns(13308273),Jason Dufner(13308245),Branden Grace(13308241),Viktor Hovland(13308212),Mackenzie Hughes(13308259),49900,360.849
G,Brian Harman (13308225),Brian Harman,13308225,G,8900,A Military Tribute at The Greenbrier,Golf,53.61236102,Bryson DeChambeau(13308211),Sam Burns(13308273),Jason Dufner(13308245),Andrew Landry(13308248),Sungjae Im(13308216),Mackenzie Hughes(13308259),49900,360.842
G,Martin Laird (13308226),Martin Laird,13308226,G,8800,A Military Tribute at The Greenbrier,Golf,53.71624539,Sam Burns(13308273),Jason Dufner(13308245),Viktor Hovland(13308212),Jason Kokrak(13308213),Nate Lashley(13308275),Mackenzie Hughes(13308259),49900,360.838
G,Harold Varner III (13308227),Harold Varner III,13308227,G,8700,A Military Tribute at The Greenbrier,Golf,55.13913634,Joaquin Niemann(13308217),Bud Cauley(13308239),Jason Dufner(13308245),Viktor Hovland(13308212),Mackenzie Hughes(13308259),Sam Burns(13308273),49900,360.769
G,Kevin Streelman (13308228),Kevin Streelman,13308228,G,8600,A Military Tribute at The Greenbrier,Golf,55.7717419,Bryson DeChambeau(13308211),Joaquin Niemann(13308217),Sam Burns(13308273),Branden Grace(13308241),Andrew Landry(13308248),Mackenzie Hughes(13308259),50000,360.696
G,Robert Streb (13308229),Robert Streb,13308229,G,8500,A Military Tribute at The Greenbrier,Golf,53.60820266,Bryson DeChambeau(13308211),Sam Burns(13308273),Jason Kokrak(13308213),Nate Lashley(13308275),Andrew Landry(13308248),Mackenzie Hughes(13308259),50000,360.685
G,Russell Knox (13308230),Russell Knox,13308230,G,8400,A Military Tribute at The Greenbrier,Golf,53.92646406,Sam Burns(13308273),Jason Dufner(13308245),Branden Grace(13308241),Viktor Hovland(13308212),Sungjae Im(13308216),Mackenzie Hughes(13308259),50000,360.621
G,Zach Johnson (13308231),Zach Johnson,13308231,G,8300,A Military Tribute at The Greenbrier,Golf,51.330036,Bryson DeChambeau(13308211),Bud Cauley(13308239),Joaquin Niemann(13308217),Sam Burns(13308273),Andrew Landry(13308248),Mackenzie Hughes(13308259),50000,360.616
G,Denny McCarthy (13308232),Denny McCarthy,13308232,G,8200,A Military Tribute at The Greenbrier,Golf,55.24161723,Bud Cauley(13308239),Jason Dufner(13308245),Viktor Hovland(13308212),Sungjae Im(13308216),Mackenzie Hughes(13308259),Sam Burns(13308273),50000,360.541
G,J.B. Holmes (13308233),J.B. Holmes,13308233,G,8100,A Military Tribute at The Greenbrier,Golf,54.97272104,Joaquin Niemann(13308217),Sam Burns(13308273),Viktor Hovland(13308212),Denny McCarthy(13308232),Scott Stallings(13308269),Mackenzie Hughes(13308259),49900,360.533
G,Joel Dahmen (13308234),Joel Dahmen,13308234,G,8000,A Military Tribute at The Greenbrier,Golf,54.99273507,Joaquin Niemann(13308217),Sam Burns(13308273),Joel Dahmen(13308234),Viktor Hovland(13308212),Cameron Tringale(13308252),Mackenzie Hughes(13308259),50000,360.398
G,Tom Lewis (13308235),Tom Lewis,13308235,G,7900,A Military Tribute at The Greenbrier,Golf,53.17209473,Bryson DeChambeau(13308211),Joaquin Niemann(13308217),Jason Dufner(13308245),Sam Burns(13308273),Cameron Tringale(13308252),Mackenzie Hughes(13308259),49700,360.312
