Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SF,Luka Doncic (14116340),Luka Doncic,14116340,PG/SF/F/G/UTIL,12400,PHI@DAL 01/11/2020 08:30PM ET,DAL,58.82
SF/PF,Giannis Antetokounmpo (14116345),Giannis Antetokounmpo,14116345,SF/PF/F/UTIL,11500,MIL@POR 01/11/2020 10:00PM ET,MIL,59.26
C,Andre Drummond (14116349),Andre Drummond,14116349,C/UTIL,10100,CHI@DET 01/11/2020 07:00PM ET,DET,49.15
PG/SF,LeBron James (14116351),LeBron James,14116351,PG/SF/F/G/UTIL,10000,LAL@OKC 01/11/2020 08:00PM ET,LAL,56.3
PF/C,Anthony Davis (14116356),Anthony Davis,14116356,PF/C/F/UTIL,9800,LAL@OKC 01/11/2020 08:00PM ET,LAL,51.98
C,Nikola Jokic (14116360),Nikola Jokic,14116360,C/UTIL,9700,CLE@DEN 01/11/2020 09:00PM ET,DEN,44.76
C,Joel Embiid (14116362),Joel Embiid,14116362,C/UTIL,9200,PHI@DAL 01/11/2020 08:30PM ET,PHI,48.26
PG,Damian Lillard (14116364),Damian Lillard,14116364,PG/G/UTIL,8700,MIL@POR 01/11/2020 10:00PM ET,POR,46.8
C,Hassan Whiteside (14116367),Hassan Whiteside,14116367,C/UTIL,8600,MIL@POR 01/11/2020 10:00PM ET,POR,42.02
PG/SF,Ben Simmons (14116369),Ben Simmons,14116369,PG/SF/F/G/UTIL,8500,PHI@DAL 01/11/2020 08:30PM ET,PHI,42.14
SF/PF,Brandon Ingram (14116374),Brandon Ingram,14116374,SF/PF/F/UTIL,8400,NO@BOS 01/11/2020 07:00PM ET,NO,43.84
PG/SG,Zach LaVine (14116378),Zach LaVine,14116378,PG/SG/G/UTIL,8300,CHI@DET 01/11/2020 07:00PM ET,CHI,39.67
SF/PF,Jayson Tatum (14116382),Jayson Tatum,14116382,SF/PF/F/UTIL,8000,NO@BOS 01/11/2020 07:00PM ET,BOS,38.22
PG/SG,Jrue Holiday (14116386),Jrue Holiday,14116386,PG/SG/G/UTIL,7900,NO@BOS 01/11/2020 07:00PM ET,NO,39.9
PG,Kemba Walker (14116390),Kemba Walker,14116390,PG/G/UTIL,7600,NO@BOS 01/11/2020 07:00PM ET,BOS,38.13
SG/SF,Khris Middleton (14116393),Khris Middleton,14116393,SG/SF/F/G/UTIL,7500,MIL@POR 01/11/2020 10:00PM ET,MIL,34.55
PF/C,Kristaps Porzingis (14116398),Kristaps Porzingis,14116398,PF/C/F/UTIL,7400,PHI@DAL 01/11/2020 08:30PM ET,DAL,37.39
PG/SG,Derrick Rose (14116402),Derrick Rose,14116402,PG/SG/G/UTIL,7300,CHI@DET 01/11/2020 07:00PM ET,DET,31.11
PF/C,Kevin Love (14116411),Kevin Love,14116411,PF/C/F/UTIL,7200,CLE@DEN 01/11/2020 09:00PM ET,CLE,36.36
PG/SF,Will Barton (14116406),Will Barton,14116406,PG/SF/F/G/UTIL,7100,CLE@DEN 01/11/2020 09:00PM ET,DEN,32.57
C,Tristan Thompson (14116415),Tristan Thompson,14116415,C/UTIL,7000,CLE@DEN 01/11/2020 09:00PM ET,CLE,32.63
SG/SF,Jaylen Brown (14116421),Jaylen Brown,14116421,SG/SF/F/G/UTIL,6900,NO@BOS 01/11/2020 07:00PM ET,BOS,35.12
