H_A,Minutes,PointsPerMinute,ProjTotal,AvgPointsPerMinute,BackToBack,ThreeOfFour,Back2BackTravel,DvP Pos,Last5DvP,Last5DvPRank
0,20.15,0.297766749,100.75,0.810631774,1,1,1,SG,0.851904404,14
0,27.33333333,0.320121951,100.75,0.642288746,1,0,1,SF,0.767700536,9
0,31.85,1.01255887,100.75,0.737823866,1,0,1,PF,0.844178559,6
0,33.9,1.33480826,100.75,1.143966652,1,0,1,C,1.118670469,16
0,30.86666667,0.996220302,100.75,0.92502456,1,1,1,PG,1.184531246,26
0,29.83333333,0.729050279,112,0.719274998,0,0,0,SG,0.919918868,25
0,31.9,1.457680251,106.25,1.250448133,0,0,0,C,1.289264593,30
0,16.38333333,1.495422177,112,1.243727174,0,0,0,C,1.152921657,22
0,25.5,1.029411765,112,0.810751576,0,0,0,PG,1.164758464,24
0,29.96666667,1.092880979,106.25,0.973909132,0,0,0,SG,0.858170289,16
0,38.61666667,1.107034959,106.25,1.103447625,0,0,0,PG,0.93435458,9
0,29.38333333,1.693136699,112,1.208124987,0,0,0,PF,1.169329995,29
0,25.63333333,0.273081925,106.25,0.762192758,0,0,0,PF,0.815003469,3
0,13.9,1.31294964,106.25,0.714232059,0,0,0,SF,0.787940831,11
0,36.73333333,0.483212341,112,0.885689393,0,0,0,SG,0.919918868,25
0,29.23333333,0.949258837,115,0.827877704,0,0,0,PF,1.04514729,25
0,14.38333333,0.712630359,102,0.810631774,0,1,0,SG,0.880239934,20
0,36.38333333,1.676591846,109,1.475438382,0,0,0,PF,1.085809928,27
0,33.5,1.089552239,106.75,0.810029292,0,0,0,PG,1.002886358,13
0,24.31666667,0.544893763,101.75,0.901366966,0,0,0,C,1.007128251,7
0,38.81666667,1.036925719,106.75,1.218442248,0,0,0,PF,0.844472938,7
0,34.43333333,1.285091965,115,0.958049954,0,0,0,SG,1.068798056,29
0,35.66666667,1.394859813,115,1.24711655,0,0,0,PG,1.281274794,27
0,38.21666667,0.614914959,106.75,0.833436825,0,0,0,SF,0.942257915,27
0,31.45,0.508744038,109,0.628876292,0,0,0,PF,1.085809928,27
0,35.3,0.835694051,106.75,1.14883807,0,0,0,C,1.154930119,23
0,32.48333333,2.154951257,109,1.538590475,0,0,0,PF,1.085809928,27
0,30.76666667,0.845070423,102,0.99620759,0,0,0,PG,1.077393595,19
0,29.55,1.065989848,106.5,0.944105724,0,0,0,PF,1.165794464,28
0,24.11666667,0.653075328,101.75,0.814897559,0,0,0,SG,0.659307164,2
0,27.83333333,0.844311377,102,0.988364423,0,0,0,PF,0.759533544,2
0,33.2,0.918674699,109,0.691762562,0,0,0,SG,0.904186021,22
0,36.4,0.913461538,101.75,0.992119548,0,0,0,PG,1.137831705,22
0,37.65,0.916334661,102,0.921053493,0,1,0,SF,0.539440795,1
0,31.5,0.706349206,102,0.642288746,0,0,0,SF,0.828652991,16
0,32.63333333,0.804392237,101.75,0.960963366,0,0,0,PF,0.75869459,1
0,21.66666667,0.773076923,102,0.737823866,0,0,0,PF,0.656779794,3
0,21,0.595238095,97.75,0.88725054,0,0,0,PG,0.82927659,5
0,31.96666667,1.024504692,106.5,0.852897136,0,0,0,SF,0.805593358,15
0,35.83333333,0.572093023,101.75,0.796114079,0,0,0,SF,0.848510266,21
0,36.86666667,1.30198915,109,1.031801487,0,0,0,PG,1.338914562,30
0,31.65,0.687203791,97.75,0.760937691,0,0,0,SG,0.876100087,19
0,27.95,1.135957066,115,1.203301513,0,0,0,C,1.046661211,9
0,27.9,1.075268817,97.75,0.97744393,0,0,0,PF,0.966481382,16
0,31.73333333,0.969012605,102,1.143966652,0,0,0,C,1.25342542,30
0,35.81666667,0.691019079,115,0.6753442,0,0,0,SF,0.738609435,6
0,26.11666667,0.698787492,102,0.92502456,0,1,0,PG,0.907030607,8
