Name,Not Starter Paid Salary,Starter Paid Salary,Grand Total,PPM
"Abrines, Alex",0.107692308,0.5,0.14084507,0.554820826
"Acy, Quincy",0.293103448,0.625,0.333333333,0.673439308
"Adams, Steven",,0.472222222,0.472222222,0.962113161
"Adebayo, Bam",0.319148936,0.421052632,0.348484848,0.847029919
"Afflalo, Arron",0.043478261,0.333333333,0.06122449,0.471240226
"Aldrich, Cole",0.052631579,,0.052631579,0.565018227
"Aldridge, LaMarcus",,0.527777778,0.527777778,1.198236493
"Allen, Jarrett",0.317073171,0.576923077,0.417910448,0.897181549
"Allen, Kadeem",0,0,0,0.276767698
"Allen, Tony",0.090909091,,0.090909091,0.677859159
"Aminu, Al-Farouq",0,0.46875,0.454545455,0.822804043
"Anderson, Justin",0.285714286,,0.285714286,0.806472116
"Anderson, Kyle",0,0.461538462,0.422535211,0.851518906
"Anderson, Ryan",0.222222222,0.3125,0.287878788,0.704305768
"Anigbogu, Ike",0,,0,0.82639821
"Antetokounmpo, Giannis",,0.432432432,0.432432432,1.42139936
"Anthony, Carmelo",0,0.356164384,0.351351351,0.884945366
"Anunoby, OG",0.307692308,0.148148148,0.179104478,0.605107955
"Arcidiacono, Ryan",0.052631579,,0.052631579,0.453434552
"Ariza, Trevor",0,0.46875,0.461538462,0.749141806
"Arthur, Darrell",0.055555556,1,0.105263158,0.610185622
"Artis, Jamel",0.181818182,,0.181818182,0.533883559
"Asik, Omer",0,,0,0.645173843
"Augustin, D.J",0,0.321428571,0.28125,0.837316725
"Augustin, D.J.",,0.473684211,0.473684211,0.843305785
"Babbitt, Luke",0.108108108,0.545454545,0.208333333,0.64169912
"Bacon, Dwayne",0.111111111,0.333333333,0.137254902,0.529044658
"Baker, Ron",0.185185185,0,0.178571429,0.596303125
"Baldwin, Wade",0.4,,0.4,0.467278835
"Ball, Lonzo",0.5,0.48,0.480769231,1.008815605
"Barea, Jose",0.457627119,0.8,0.507246377,1.106351336
"Barnes, Harrison",,0.493333333,0.493333333,0.920087849
"Barton, Will",0.414634146,0.594594595,0.5,0.936438557
"Batum, Nicolas",,0.413793103,0.413793103,0.896533487
"Bayless, Jerryd",0.214285714,0.555555556,0.297297297,0.578849215
"Baynes, Aron",0.111111111,0.362068966,0.302631579,0.830724581
"Bazemore, Kent",,0.353846154,0.353846154,0.966070545
"Beal, Bradley",,0.430379747,0.430379747,1.049226009
"Beasley, Malik",0.081967213,,0.081967213,0.595655537
"Beasley, Michael",0.363636364,0.583333333,0.441176471,1.076479312
"Belinelli, Marco",0.386666667,1,0.394736842,0.774788395
"Bell, Jordan",0.146341463,0.666666667,0.264150943,1.030351616
"Bembry, DeAndre",0.434782609,,0.434782609,0.639282593
"Bender, Dragan",0.266666667,0.333333333,0.294871795,0.609824165
"Bertans, Davis",0.21875,0.7,0.283783784,0.741401966
"Beverley, Patrick",,0.3,0.3,0.864000855
"Birch, Khem",0.216216216,,0.216216216,0.738915167
"Bird, Jabari",0,,0,0.223783576
"Biyombo, Bismack",0.188679245,0.416666667,0.25974026,0.854250367
"Bjelica, Nemanja",0.162790698,0.523809524,0.28125,0.776268386
"Black, Tarik",0.270833333,1,0.285714286,0.843767482
"Blakeney, Antonio",0.368421053,,0.368421053,0.931945893
"Bledsoe, Eric",0,0.485714286,0.478873239,1.090622276
"Blue, Vander",0,,0,0.239282053
"Bogdanovic, Bogdan",0.5,0.306122449,0.373333333,0.809935661
"Bogdanovic, Bojan",,0.423076923,0.423076923,0.730040275
"Bogut, Andrew",0.052631579,0,0.043478261,0.80825299
"Bolomboy, Joel",0,,0,0.738673586
