,Player,Position,Confirmed,Team,Oppt,DvP,Line,PowerPlay,Projection,Salary,Value,Nickname,Total,WinPct,OpptTotal
0,M._Jones_,G,STARTING GOALIE,SJS,BUF,11th,1,_,6.6,8000.0,0.825,SAN,3.402,0.7058823529411765,2.098
1,Erik_Karlsson_,D,_,SJS,BUF,3rd,1,1,3.7,6500.0,0.5692307692307692,SAN,3.402,0.7058823529411765,2.098
2,B._Burns_,D,_,SJS,BUF,3rd,2,1,3.6,6300.0,0.5714285714285715,SAN,3.402,0.7058823529411765,2.098
3,Timo_Meier_,W,_,SJS,BUF,2nd,2,2,3.6,5500.0,0.6545454545454545,SAN,3.402,0.7058823529411765,2.098
4,E._Kane_,W,_,SJS,BUF,2nd,1,1,3.5,6300.0,0.5555555555555556,SAN,3.402,0.7058823529411765,2.098
5,L._Couture_,C,_,SJS,BUF,27th,2,1,3.2,5800.0,0.5517241379310345,SAN,3.402,0.7058823529411765,2.098
6,Joe_Pavelski_,C,_,SJS,BUF,27th,1,1,3.2,6200.0,0.5161290322580645,SAN,3.402,0.7058823529411765,2.098
7,M._Vlasic_,D,_,SJS,BUF,3rd,1,2,3.1,4800.0,0.6458333333333334,SAN,3.402,0.7058823529411765,2.098
8,T._Hertl_,W,_,SJS,BUF,2nd,2,2,2.9,5700.0,0.5087719298245613,SAN,3.402,0.7058823529411765,2.098
9,K._Labanc_,W,_,SJS,BUF,2nd,1,2,2.4,4800.0,0.5,SAN,3.402,0.7058823529411765,2.098
10,J._Donskoi_,W,_,SJS,BUF,2nd,3,2,2.3,4000.0,0.575,SAN,3.402,0.7058823529411765,2.098
11,J._Braun_,D,_,SJS,BUF,3rd,3,_,2.0,3700.0,0.5405405405405405,SAN,3.402,0.7058823529411765,2.098
12,A._Suomela_,C,_,SJS,BUF,27th,3,_,1.9,3200.0,0.5937499999999999,SAN,3.402,0.7058823529411765,2.098
13,M._Sorensen_,W,_,SJS,BUF,2nd,3,_,1.5,2600.0,0.5769230769230769,SAN,3.402,0.7058823529411765,2.098
14,B._Dillon_,D,_,SJS,BUF,3rd,3,_,1.2,2900.0,0.41379310344827586,SAN,3.402,0.7058823529411765,2.098
15,J._Ryan_,D,_,SJS,BUF,3rd,2,_,0.8,2700.0,0.2962962962962963,SAN,3.402,0.7058823529411765,2.098
16,K._Kinkaid_,G,STARTING GOALIE,NJD,COL,14th,1,_,6.4,7900.0,0.810126582278481,NJD,3.278,0.5833333333333334,2.722
17,Kyle_Palmieri_,W,_,NJD,COL,6th,1,1,4.9,7000.0,0.7000000000000001,NJD,3.278,0.5833333333333334,2.722
18,T._Hall_,W,_,NJD,COL,6th,1,1,3.9,7200.0,0.5416666666666666,NJD,3.278,0.5833333333333334,2.722
19,Sami_Vatanen_,D,_,NJD,COL,17th,1,2,2.9,5000.0,0.58,NJD,3.278,0.5833333333333334,2.722
