,Nickname,Total,WinPct,OpptTotal
0,NAS,3.185,0.5555555555555556,2.815
1,OTT,2.445,0.2857142857142857,4.055
2,CHI,2.588,0.37735849056603776,3.412
3,VGK,2.964,0.5121951219512195,3.036
4,CGY,3.413,0.5454545454545454,3.087
5,TAM,3.612,0.6,2.888
6,TOR,3.773,0.6428571428571429,2.727
7,MIN,2.523,0.42553191489361697,2.977
0,FLA,2.815,0.4444444444444444,3.185
1,PIT,4.055,0.7142857142857143,2.445
2,BUF,3.412,0.6226415094339622,2.588
3,CAR,3.036,0.5108342361863488,2.964
4,WAS,3.087,0.4545454545454546,3.413
5,NYI,2.888,0.4,3.612
6,DET,2.727,0.3571428571428571,3.773
7,DAL,2.977,0.574468085106383,2.523
