Name,HOT,Formatted Guru Name,Total
"Allen, Jarrett",1,DeMarcus Cousins,2.059800664
"Aminu, Al-Farouq",1,James Harden,2.009972703
"Beal, Bradley",1,Giannis Antetokounmpo,2.001961317
"Embiid, Joel",1,Rudy Gobert,1.839958025
"George, Paul",1,Nikola Jokic,1.810210324
"Gobert, Rudy",1,Joel Embiid,1.746125832
"Green, Draymond",1,Anthony Davis,1.666100302
"Green, Gerald",1,Daniel Hamilton,1.624472574
"Harden, James",1,Kyrie Irving,1.600145189
"Hezonja, Mario",1,Alex Len,1.589615562
"Huerter, Kevin",1,JaVale McGee,1.581506853
"Iguodala, Andre",1,Jahlil Okafor,1.54109589
"Kennard, Luke",1,Stephen Curry,1.527045298
"Lillard, Damian",1,Ben Simmons,1.522034706
"Mack, Shelvin",1,Kevin Durant,1.519864979
"Oubre, Kelly",1,Russell Westbrook,1.503725691
"Tucker, P.J.",1,Jusuf Nurkic,1.470142526
"Vucevic, Nikola",1,Nikola Vucevic,1.444687834
"Wilson, D.J",1,Ivica Zubac,1.427380312
"Zizic, Ante",1,Eric Bledsoe,1.418175142
,,D'Angelo Russell,1.407472262
,,Eric Gordon,1.400071286
,,Jabari Parker,1.395747732
,,Ivan Rabb,1.388676358
,,Trey Lyles,1.378929021
,,Julius Randle,1.368512004
,,Tyreke Evans,1.359055478
,,Kawhi Leonard,1.358645929
,,Corey Brewer,1.35523614
,,Shabazz Napier,1.348133289
,,Jarrett Allen,1.347151704
,,C.J Miles,1.332816969
,,Joakim Noah,1.322202531
,,Louis Williams,1.32118606
,,Damian Lillard,1.314393334
,,Paul George,1.308742063
,,LaMarcus Aldridge,1.303089821
,,Jamal Murray,1.302288831
,,Quinn Cook,1.3003663
,,Lonzo Ball,1.295567755
,,Karl-Anthony Towns,1.29199241
,,Blake Griffin,1.289899651
,,Kemba Walker,1.289077327
,,Luka Doncic,1.268263859
,,Kyle Kuzma,1.26282464
,,Draymond Green,1.256022582
,,Donovan Mitchell,1.248455805
,,Domantas Sabonis,1.247751775
,,Chris Boucher,1.240808824
,,Lauri Markkanen,1.23962507
,,Jonah Bolden,1.225873472
,,Jimmy Butler,1.22492694
,,John Collins,1.211342015
,,Amir Johnson,1.203071672
,,Hassan Whiteside,1.195675932
,,Darren Collison,1.187616342
,,Shelvin Mack,1.182261135
,,Buddy Hield,1.17988045
,,Tobias Harris,1.170400135
,,Bobby Portis,1.169187496
,,Klay Thompson,1.16765738
,,Derrick Favors,1.167171033
,,Derrick Rose,1.165616081
,,Gorgui Dieng,1.164157317
,,Danny Green,1.162126592
,,Kelly Oubre,1.161416743
,,Taj Gibson,1.159245417
,,Andre Drummond,1.156481919
,,Myles Turner,1.147433363
,,Dwyane Wade,1.145302429
,,Trae Young,1.14413358
,,D.J Wilson,1.13707758
,,Al-Farouq Aminu,1.130974688
,,Mason Plumlee,1.128786322
,,Dwight Powell,1.12601028
,,Guillermo Hernangomez,1.125754739
,,Greg Monroe,1.123023793
,,Jrue Holiday,1.101612821
,,Mike Scott,1.100244499
,,De'Aaron Fox,1.099755093
,,Devin Booker,1.098000731
,,Vince Carter,1.0885649
,,Michael Beasley,1.077092514
,,Dennis Schroder,1.074345434
,,Brad Wanamaker,1.074193548
,,T.J McConnell,1.073584047
,,JaMychal Green,1.071975792
,,Tony Parker,1.071511489
,,Aron Baynes,1.067629721
,,Jeremy Lamb,1.065406364
,,Taurean Prince,1.063188691
,,Willie Cauley-Stein,1.062881192
,,Jayson Tatum,1.062163661
,,Paul Millsap,1.059402917
,,Kyle Lowry,1.057450749
,,Andre Iguodala,1.051460246
,,Omari Spellman,1.05138954
,,Bismack Biyombo,1.047530666
,,Rudy Gay,1.046122764
,,Ante Zizic,1.045940289
,,Montrezl Harrell,1.045220664
,,Jeremy Lin,1.040669856
,,Marvin Bagley,1.039974772
,,Dragan Bender,1.038592509
,,Jake Layman,1.036537586
,,Justise Winslow,1.035016131
,,Daniel Theis,1.031674208
,,Victor Oladipo,1.030609006
,,Serge Ibaka,1.026897261
,,Spencer Dinwiddie,1.025428604
,,Deandre Ayton,1.024954433
,,Robin Lopez,1.02397711
,,DeAndre Jordan,1.02330958
,,Jarell Martin,1.016949153
,,Pat Connaughton,1.012150052
,,Jaylen Brown,1.011979444
,,Kevon Looney,1.010610658
,,Evan Turner,0.983934877
,,Mohamed Bamba,0.983811047
,,Pascal Siakam,0.980245542
,,George Hill,0.979726911
,,Luke Kennard,0.975778809
,,Matthew Dellavedova,0.972740807
,,Marcin Gortat,0.972295256
,,Jaren Jackson,0.965155729
,,Miles Bridges,0.964911401
,,Khris Middleton,0.964743278
,,Landry Shamet,0.956673721
,,Kevin Huerter,0.954769052
,,Nikola Mirotic,0.954291405
,,Marco Belinelli,0.953703738
,,Steven Adams,0.951377672
,,Ed Davis,0.947517907
,,Aaron Gordon,0.94744967
,,Thaddeus Young,0.945148333
,,Marc Gasol,0.94122121
,,Ryan Arcidiacono,0.941106947
,,Grand Total,0.938942965
,,Marcus Smart,0.936428283
,,Mike Conley,0.935508719
,,Al Horford,0.931843542
,,Stanley Johnson,0.931719775
,,Luol Deng,0.928008999
,,Norman Powell,0.927719519
,,Jonathon Simmons,0.925110132
,,Juan Hernangomez,0.924551294
,,Harry Giles,0.923859564
,,Marvin Williams,0.923791347
,,Bogdan Bogdanovic,0.923363747
,,Malik Monk,0.923027617
,,Jae Crowder,0.922401036
,,Meyers Leonard,0.922058156
,,Patrick Beverley,0.917585303
,,Josh Richardson,0.917142702
,,Furkan Korkmaz,0.913461538
,,Terrence Ross,0.90769511
,,Elfrid Payton,0.905765591
,,Lance Stephenson,0.900569307
,,Will Barton,0.895842627
,,De'Anthony Melton,0.895435053
,,D.J. Augustin,0.894490878
,,J.J. Redick,0.894174702
,,Patty Mills,0.892004704
,,Brook Lopez,0.891717274
,,Terry Rozier,0.886911706
,,Danilo Gallinari,0.881673861
,,Guerschon Yabusele,0.877659574
,,Sterling Brown,0.877494467
,,Jamal Crawford,0.877470356
,,Malcolm Brogdon,0.876745522
,,Antonio Blakeney,0.875912409
,,Brandon Ingram,0.875308539
,,Zach LaVine,0.873419102
,,P.J. Tucker,0.872271697
,,Jon Leuer,0.871837961
,,Cory Joseph,0.869868876
,,Rodney Hood,0.869749298
,,Gerald Green,0.869067425
,,Dion Waiters,0.864040082
,,Nerlens Noel,0.863879127
,,Tyson Chandler,0.853756337
,,DeMarre Carroll,0.852030792
,,Gordon Hayward,0.848922872
,,Jeff Teague,0.846610321
,,Wendell Carter Jr.,0.846560847
,,TJ Leaf,0.846111111
