Away,AwayProjectedTotal,AwayScore,Home,HomeProjectedTotal,HomeScore,OU,Line,Favorite,Date,Season,Winner,LineWinner,OverUnder,WinnerFavorite,LineWinnerFavorite,AwayBack2Back,HomeBack2Back,,,
ATL,78.5,76,CONN,74.5,85,153,-4,Away,6/1/2014,2014,Home,Home,Over,Underdog,Underdog,,,,,
LOS,77,60,WAS,72,62,149,-5,Away,6/1/2014,2014,Home,Home,Under,Underdog,Underdog,,,,,
MIN,80,87,SA,76.5,79,156.5,-3.5,Away,6/1/2014,2014,Away,Away,Over,Favorite,Favorite,,,,,
TUL,72.5,60,SEA,76,62,148.5,-3.5,Home,6/1/2014,2014,Home,Away,Under,Favorite,Underdog,,,,,
LOS,78.25,85,ATL,75.25,93,153.5,-3,Away,6/3/2014,2014,Home,Home,Over,Underdog,Underdog,,,,,
SEA,67.75,72,PHO,78.75,87,146.5,-11,Home,6/3/2014,2014,Home,Home,Over,Favorite,Favorite,,,,,
SA,72,87,NEW,75,75,147,-3,Home,6/5/2014,2014,Away,Away,Over,Underdog,Underdog,,,,,
WAS,75.25,74,CONN,73.75,66,149,-1.5,Away,6/5/2014,2014,Away,Away,Under,Favorite,Favorite,Front,,,,
IND,68.75,64,WAS,72.75,61,141.5,-4,Home,6/6/2014,2014,Away,Away,Under,Underdog,Underdog,Front,Back,,,
LOS,75.25,102,CHI,78.75,88,154,-3.5,Home,6/6/2014,2014,Away,Away,Over,Underdog,Underdog,,Front,,,
MIN,77,62,SEA,71,65,148,-6,Away,6/6/2014,2014,Home,Home,Under,Underdog,Underdog,,,,,
PHO,84,78,TUL,78.5,94,162.5,-5.5,Away,6/6/2014,2014,Home,Home,Over,Underdog,Underdog,,,,,
CHI,77,59,ATL,83,97,160,-6,Home,6/7/2014,2014,Home,Home,Under,Favorite,Favorite,Back,,,,
IND,69.5,71,CONN,73.5,88,143,-4,Home,6/7/2014,2014,Home,Home,Over,Favorite,Favorite,Back,,,,
MIN,80.25,85,LOS,83.75,72,164,-3.5,Home,6/8/2014,2014,Away,Away,Under,Underdog,Underdog,,,,,
WAS,69.5,64,NEW,74,81,143.5,-4.5,Home,6/8/2014,2014,Home,Home,Over,Favorite,Favorite,,,,,
NEW,75.25,57,TUL,79.25,72,154.5,-4,Home,6/10/2014,2014,Home,Home,Under,Favorite,Favorite,,,,,
PHO,78.25,81,WAS,73.75,66,152,-4.5,Away,6/10/2014,2014,Away,Away,Under,Favorite,Favorite,,,,,
SEA,70.5,80,CHI,72.5,76,143,-2,Home,6/10/2014,2014,Away,Away,Over,Underdog,Underdog,Front,,,,
SEA,65.75,68,IND,72.25,76,138,-6.5,Home,6/11/2014,2014,Home,Home,Over,Favorite,Favorite,Back,,,,
PHO,81,95,CONN,74.5,96,155.5,-6.5,Away,6/12/2014,2014,Home,Home,Over,Underdog,Underdog,,Front,,,
CHI,70.5,68,WAS,77.5,79,148,-7,Home,6/13/2014,2014,Home,Home,Under,Favorite,Favorite,,,,,
CONN,72.75,83,NEW,78.75,75,151.5,-6,Home,6/13/2014,2014,Away,Away,Over,Underdog,Underdog,Back,,,,
LOS,80.25,67,TUL,76.25,69,156.5,-4,Away,6/13/2014,2014,Home,Home,Under,Underdog,Underdog,Front,,,,
MIN,80.75,82,ATL,82.25,85,163,-1.5,Home,6/13/2014,2014,Home,Home,Over,Favorite,Favorite,,,,,
SEA,69.25,79,SA,75.25,72,144.5,-6,Home,6/13/2014,2014,Away,Away,Over,Underdog,Underdog,,Front,,,
LOS,78.75,74,SA,76.25,101,155,-2.5,Away,6/14/2014,2014,Home,Home,Over,Underdog,Underdog,Back,Back,,,
ATL,79,75,WAS,75.5,67,154.5,-3.5,Away,6/15/2014,2014,Away,Away,Under,Favorite,Favorite,,,,,
NEW,75.25,72,CONN,74.25,76,149.5,-1,Away,6/15/2014,2014,Home,Home,Under,Underdog,Underdog,,,,,
PHO,79.75,80,MIN,85.25,72,165,-5.5,Home,6/15/2014,2014,Away,Away,Under,Underdog,Underdog,,,,,
SEA,69.5,79,TUL,76,85,145.5,-6.5,Home,6/15/2014,2014,Home,Away,Over,Favorite,Underdog,,,,,
IND,71.75,67,CONN,75.25,89,147,-3.5,Home,6/17/2014,2014,Home,Home,Over,Favorite,Favorite,,,,,
MIN,79.75,94,LOS,78.25,77,158,-1.5,Away,6/17/2014,2014,Away,Away,Over,Favorite,Favorite,Front,,,,
MIN,79.25,79,PHO,83.75,92,163,-4.5,Home,6/18/2014,2014,Home,Home,Over,Favorite,Favorite,Back,,,,
WAS,73,73,ATL,81,83,154,-8,Home,6/18/2014,2014,Home,Home,Over,Favorite,Favorite,,,,,
TUL,75.25,77,LOS,81.75,87,157,-6.5,Home,6/19/2014,2014,Home,Home,Over,Favorite,Favorite,Front,,,,
IND,73.5,83,CHI,77,75,150.5,-3.5,Home,6/20/2014,2014,Away,Away,Over,Underdog,Underdog,,,,,
NEW,73.25,64,ATL,82.25,85,155.5,-9,Home,6/20/2014,2014,Home,Home,Under,Favorite,Favorite,,,,,
TUL,76,80,PHO,87,91,163,-11,Home,6/20/2014,2014,Home,Push,Over,Favorite,Underdog,Back,,,,
WAS,72.5,65,MIN,81,75,153.5,-8.5,Home,6/20/2014,2014,Home,Home,Under,Favorite,Favorite,,,,,
ATL,78.75,78,NEW,74.25,85,153,-4.5,Away,6/22/2014,2014,Home,Home,Over,Underdog,Underdog,,,,,
IND,71.25,77,MIN,81.25,83,152.5,-10,Home,6/22/2014,2014,Home,Away,Over,Favorite,Underdog,,,,,
